GPA,Problems_Solved,Certifications,CF_Rating,Skill_Score,Placed
8.08,359,1,1228,86.73,0
7.89,636,4,0,76.96,1
8.17,633,1,1128,100.0,1
8.0,290,1,0,100.0,0
9.84,304,2,0,60.56,1
7.21,1124,1,1277,98.34,1
7.3,471,5,1421,73.39,1
7.22,173,3,0,61.74,0
7.28,279,4,1097,47.21,0
7.21,619,2,0,58.01,1
8.76,1052,1,1012,100.0,1
8.96,977,1,1706,100.0,1
7.26,459,2,1077,94.81,0
7.04,367,1,0,68.29,0
8.15,256,2,0,100.0,1
7.28,394,1,1216,70.31,0
8.29,277,2,1590,83.34,1
7.92,332,1,0,40.51,0
6.46,540,1,1734,72.01,0
9.07,414,3,1248,68.44,1
9.28,412,1,1464,70.17,1
7.23,365,2,1338,43.09,0
7.42,1221,3,1350,100.0,1
7.99,237,1,936,85.05,1
8.03,469,0,1145,58.88,0
8.31,907,3,0,68.33,1
9.46,465,2,0,58.22,1
7.6,696,1,0,92.75,1
7.07,172,2,909,49.95,0
6.58,307,0,0,64.6,0
7.13,238,0,1497,43.05,0
7.72,385,0,0,100.0,0
9.28,459,2,0,74.82,1
7.31,390,0,1289,93.59,0
7.94,604,2,0,89.02,1
7.74,129,1,0,59.32,0
8.76,339,1,0,66.69,0
9.9,538,3,1161,62.02,1
7.3,133,1,1454,51.31,0
7.33,517,1,1154,55.52,0
8.64,331,0,1647,45.9,1
8.33,390,4,1315,100.0,1
9.32,679,0,0,87.74,1
8.25,741,3,0,100.0,1
7.44,530,2,1387,60.32,0
8.25,246,2,0,39.81,0
8.69,573,1,0,58.36,0
8.45,579,1,1224,69.72,1
8.18,516,1,901,76.37,0
8.66,818,1,0,84.7,1
8.74,460,0,0,57.94,1
8.92,815,2,1247,89.35,1
8.3,784,0,1174,89.87,1
7.61,549,3,1118,91.01,1
7.87,465,1,817,100.0,0
8.78,544,0,868,69.48,1
7.06,829,3,1668,100.0,1
8.06,671,1,1596,83.16,1
7.42,221,2,0,33.29,0
7.77,484,1,1449,100.0,1
8.84,308,1,0,100.0,1
7.91,294,1,0,79.14,0
7.79,333,0,936,70.12,0
6.59,142,2,852,55.25,0
8.38,280,4,1510,56.92,1
8.3,823,0,0,100.0,1
9.59,369,1,1217,69.41,1
7.49,585,0,1169,100.0,0
7.94,442,0,1148,73.38,1
7.96,529,2,0,67.91,0
9.09,590,0,0,66.57,1
7.67,242,1,1337,49.81,0
7.99,606,0,0,89.52,1
8.27,236,0,1711,38.55,0
7.91,287,3,945,50.11,0
7.37,509,3,0,100.0,0
7.91,246,1,0,45.75,0
8.66,188,2,0,79.77,0
6.88,433,2,955,31.06,0
7.86,184,5,0,91.36,0
7.15,524,1,1324,50.56,0
8.77,389,3,971,53.03,1
6.46,410,1,1346,85.01,0
7.27,443,1,0,78.13,0
8.07,585,2,0,96.3,1
9.08,594,2,1249,53.19,1
7.69,235,0,1594,58.66,0
7.28,332,1,1036,55.94,0
9.35,540,2,0,54.4,1
6.52,713,1,0,95.44,0
5.88,452,1,1046,91.94,0
8.12,752,0,0,78.34,1
7.32,461,1,1134,100.0,0
6.88,624,2,846,64.25,0
8.35,477,0,0,100.0,1
7.96,659,0,1056,92.6,1
7.27,313,1,1315,43.05,0
6.66,764,2,0,100.0,0
8.49,540,1,1453,67.71,0
8.3,220,4,0,87.9,0
7.67,472,2,0,76.79,1
9.32,608,1,0,86.81,1
6.84,564,1,1268,95.58,0
6.45,896,1,1576,100.0,0
7.16,282,2,1022,59.44,0
7.71,956,1,0,100.0,1
7.96,408,2,1109,80.45,1
7.54,264,0,0,69.83,0
8.05,326,0,1367,63.97,0
6.69,474,0,1106,78.19,0
8.98,310,3,0,100.0,0
7.68,334,2,0,62.46,0
8.7,513,0,1548,99.65,1
8.04,823,1,0,75.53,1
8.14,614,0,1219,61.93,0
8.23,428,1,0,100.0,0
8.13,538,3,0,87.32,1
8.3,473,3,1300,85.27,1
8.88,272,2,887,77.78,1
7.92,888,0,1375,100.0,1
8.35,843,0,0,96.88,1
7.67,380,0,0,86.52,0
8.97,373,1,0,48.75,1
7.18,198,0,1202,82.6,0
9.28,605,1,1026,74.46,1
7.72,537,1,800,89.91,0
6.53,210,4,1171,29.1,0
7.86,455,0,0,85.8,0
7.17,561,0,1217,32.6,0
8.46,339,0,1111,63.04,0
7.2,337,2,1652,34.37,1
7.37,342,0,0,81.34,0
6.14,201,2,0,64.43,0
7.37,348,1,1236,53.5,0
5.69,88,2,0,87.21,0
6.4,290,0,0,48.67,0
8.4,382,2,0,10.0,1
8.42,416,1,1035,81.91,1
8.11,518,2,0,40.39,1
6.93,179,0,0,44.86,0
7.71,233,1,0,53.97,0
7.75,270,2,1257,37.32,0
6.77,161,3,1411,51.57,0
9.03,587,2,1448,50.37,1
8.5,335,0,1178,71.65,0
7.56,384,1,890,45.79,0
7.77,260,3,0,66.0,0
7.93,341,2,0,91.88,0
6.01,383,1,0,85.97,0
7.54,462,2,0,71.85,1
7.17,213,0,0,43.75,0
6.9,344,0,1385,71.94,0
7.51,250,3,879,51.09,0
9.28,445,1,1394,76.82,1
8.29,313,2,1219,33.21,0
7.26,886,1,0,100.0,1
8.24,608,1,0,79.98,1
